Iteration           EnergyValue II      EnergyValue MDCA    
0.000000            5.376872            8.194113            
1.000000            5.321921            8.433273            
2.000000            5.267757            8.718031            
3.000000            5.214768            8.359046            
4.000000            5.159944            8.365107            
5.000000            5.095705            8.127492            
6.000000            5.040234            8.070611            
7.000000            4.984322            8.055500            
8.000000            4.930533            8.702233            
9.000000            4.870625            8.725002            
10.000000           4.818518            8.576181            
11.000000           4.762758            8.164872            
12.000000           4.695291            8.056013            
13.000000           4.642615            8.029543            
14.000000           4.582043            7.958505            
15.000000           4.527791            7.834165            
16.000000           4.474863            7.576841            
17.000000           4.399164            7.812406            
18.000000           4.340255            7.742500            
19.000000           4.285282            7.655897            
20.000000           4.231151            7.804638            
21.000000           4.186039            7.883056            
22.000000           4.132622            8.920310            
23.000000           4.088669            8.743487            
24.000000           4.052244            9.045231            
25.000000           4.016683            8.834475            
26.000000           3.983645            9.159970            
27.000000           3.955293            9.220858            
28.000000           3.925509            9.184772            
29.000000           3.897647            10.152278           
30.000000           3.865677            10.741427           
31.000000           3.839405            11.231574           
32.000000           3.798061            10.918087           
33.000000           3.765148            11.200926           
34.000000           3.737359            11.176284           
35.000000           3.710277            11.119370           
36.000000           3.684645            9.628514            
37.000000           3.662390            9.394091            
38.000000           3.630396            9.503185            
39.000000           3.611250            9.163410            
40.000000           3.594336            9.734509            
41.000000           3.562904            10.344860           
42.000000           3.546374            10.091154           
43.000000           3.534800            10.080730           
44.000000           3.510914            10.397651           
45.000000           3.476862            9.630983            
46.000000           3.431480            10.163093           
47.000000           3.386456            9.889413            
48.000000           3.344206            10.070957           
49.000000           3.311732            9.835482            
50.000000           3.262869            9.537660            
51.000000           3.231073            9.857925            
52.000000           3.192389            9.568923            
53.000000           3.163385            9.593984            
54.000000           3.135150            9.694783            
55.000000           3.109374            10.055183           
56.000000           3.084319            9.942676            
57.000000           3.063842            9.720386            
58.000000           3.032729            9.970727            
59.000000           3.004089            10.105374           
60.000000           2.979752            9.784173            
61.000000           2.951701            9.941027            
62.000000           2.923273            10.254757           
63.000000           2.891140            9.705174            
64.000000           2.874082            9.731009            
65.000000           2.815821            9.791010            
66.000000           2.673825            9.005754            
67.000000           2.644183            8.486114            
68.000000           2.604484            8.752857            
69.000000           2.572169            8.698946            
70.000000           2.557200            8.637295            
71.000000           2.539422            8.536322            
72.000000           2.516521            8.694251            
73.000000           2.494668            8.382182            
74.000000           2.471025            7.969644            
75.000000           2.460735            8.098009            
76.000000           2.451563            7.953904            
77.000000           2.444499            8.513675            
78.000000           2.438748            8.391803            
79.000000           2.433738            8.385647            
80.000000           2.421800            8.449300            
81.000000           2.415424            7.309745            
82.000000           2.410007            7.208596            
83.000000           2.408942            7.126174            
84.000000           2.406801            7.235426            
85.000000           2.404014            7.626331            
86.000000           2.403546            8.041767            
87.000000           2.403431            8.228892            
88.000000           2.397159            8.560045            
89.000000           2.395440            8.061310            
89.000000           2.395440            8.061310            
90.000000           2.363274            8.233967            
90.000000           2.363274            8.233967            
91.000000           2.339195            8.244042            
91.000000           2.339195            8.244042            
92.000000           2.309554            7.951013            
92.000000           2.309554            7.951013            
93.000000           2.285649            7.966515            
93.000000           2.285649            7.966515            
94.000000           2.248005            8.324718            
94.000000           2.248005            8.324718            
95.000000           2.234894            8.375397            
95.000000           2.234894            8.375397            
96.000000           2.224918            8.323163            
97.000000           2.223429            8.401698            
97.000000           2.223429            8.401698            
98.000000           2.215749            8.235076            
98.000000           2.215749            8.235076            
99.000000           2.209258            7.961427            
100.000000          2.204706            8.345130            
101.000000          2.201318            7.694276            
102.000000          2.194696            7.860345            
102.000000          2.194696            7.860345            
103.000000          2.189100            7.892820            
103.000000          2.189100            7.892820            
104.000000          2.184389            7.762831            
105.000000          2.182128            7.829344            
106.000000          2.181844            7.993844            
107.000000          2.177635            8.467276            
108.000000          2.175406            8.455100            
109.000000          2.173592            7.908683            
110.000000          2.168160            7.804688            
111.000000          2.165198            8.011584            
111.000000          2.165198            8.011584            
112.000000          2.162323            8.240268            
112.000000          2.162323            8.240268            
113.000000          2.160370            8.605344            
113.000000          2.160370            8.605344            
114.000000          2.159168            8.539565            
114.000000          2.159168            8.539565            
114.000000          2.159168            8.539565            
115.000000          2.143835            8.354891            
115.000000          2.143835            8.354891            
116.000000          2.143792            8.500920            
116.000000          2.143792            8.500920            
117.000000          2.143073            8.640133            
117.000000          2.143073            8.640133            
118.000000          2.142786            8.385702            
118.000000          2.142786            8.385702            
119.000000          2.142271            8.341326            
119.000000          2.142271            8.341326            
119.000000          2.142271            8.341326            
120.000000          2.133263            8.190982            
120.000000          2.133263            8.190982            
121.000000          2.131321            8.316741            
121.000000          2.131321            8.316741            
122.000000          2.130428            8.452024            
122.000000          2.130428            8.452024            
122.000000          2.130428            8.452024            
123.000000          2.126247            8.515171            
123.000000          2.126247            8.515171            
123.000000          2.126247            8.515171            
124.000000          2.122948            8.530994            
124.000000          2.122948            8.530994            
124.000000          2.122948            8.530994            
125.000000          2.120258            8.914880            
125.000000          2.120258            8.914880            
125.000000          2.120258            8.914880            
126.000000          2.109576            8.654307            
126.000000          2.109576            8.654307            
126.000000          2.109576            8.654307            
127.000000          2.100434            9.041854            
127.000000          2.100434            9.041854            
127.000000          2.100434            9.041854            
128.000000          2.098082            8.691229            
128.000000          2.098082            8.691229            
128.000000          2.098082            8.691229            
129.000000          2.096632            8.571609            
129.000000          2.096632            8.571609            
130.000000          2.095154            8.578029            
130.000000          2.095154            8.578029            
131.000000          2.093894            8.661895            
131.000000          2.093894            8.661895            
131.000000          2.093894            8.661895            
132.000000          2.092451            8.572240            
132.000000          2.092451            8.572240            
132.000000          2.092451            8.572240            
133.000000          2.091717            8.932796            
133.000000          2.091717            8.932796            
133.000000          2.091717            8.932796            
134.000000          2.091175            9.160736            
134.000000          2.091175            9.160736            
135.000000          2.090985            8.555048            
135.000000          2.090985            8.555048            
135.000000          2.090985            8.555048            
136.000000          2.090258            8.598316            
136.000000          2.090258            8.598316            
136.000000          2.090258            8.598316            
136.000000          2.090258            8.598316            
136.000000          2.090258            8.598316            
136.000000          2.090258            8.598316            


#442s 442969ms 442969099us 
Initial digital shape size: 7481 pixels.
