Iteration           EnergyValue II      EnergyValue MDCA    
0.000000            8.950638            8.194113            
1.000000            8.762389            8.459497            
2.000000            8.623938            8.287959            
3.000000            8.456416            8.459395            
4.000000            8.275973            8.557037            
5.000000            8.109361            8.454245            
6.000000            7.953940            8.492452            
7.000000            7.847237            8.354817            
8.000000            7.766519            8.359791            
9.000000            7.687811            8.896456            
10.000000           7.608578            8.717931            
11.000000           7.522106            8.782254            
12.000000           7.448029            9.059554            
13.000000           7.362195            8.979899            
14.000000           7.266725            8.640375            
15.000000           7.182128            9.085415            
16.000000           7.136943            9.058482            
17.000000           7.076088            8.663192            
18.000000           7.031028            9.114009            
19.000000           6.962337            8.914423            
20.000000           6.912782            8.174945            
21.000000           6.859105            8.408058            
22.000000           6.790567            8.291095            
23.000000           6.718358            8.378465            
24.000000           6.638563            8.620425            
25.000000           6.561456            8.607227            
26.000000           6.511934            8.955569            
27.000000           6.486763            8.445191            
28.000000           6.446018            8.422693            
29.000000           6.402079            8.522401            
30.000000           6.367249            8.445629            
31.000000           6.316694            8.417576            
32.000000           6.243781            8.103433            
33.000000           6.147904            7.761595            
34.000000           6.089912            7.909664            
35.000000           6.078893            8.003866            
36.000000           6.006887            7.918308            
37.000000           5.950044            7.947319            
38.000000           5.946770            7.993070            
38.000000           5.946770            7.993070            
39.000000           5.895521            8.388808            
40.000000           5.844967            8.490192            
41.000000           5.769045            8.146971            
42.000000           5.768084            8.143847            
43.000000           5.695112            8.325993            
44.000000           5.641924            8.392610            
45.000000           5.602025            8.769204            
46.000000           5.601928            9.003339            
47.000000           5.504971            9.235470            
48.000000           5.432113            8.848624            
49.000000           5.376286            9.367935            
50.000000           5.296093            9.307851            
51.000000           5.095053            9.440566            
52.000000           4.899242            9.340254            
53.000000           4.735200            9.320132            
54.000000           4.626858            9.180401            
55.000000           4.590469            9.585539            
56.000000           4.574571            9.339485            
56.000000           4.574571            9.339485            
57.000000           4.521334            9.012581            
57.000000           4.521334            9.012581            
58.000000           4.473406            8.927669            
59.000000           4.443329            8.137104            
60.000000           4.417952            8.139674            
61.000000           4.400777            8.269999            
62.000000           4.355260            8.197948            
63.000000           4.342513            8.053058            
64.000000           4.333899            7.849419            
65.000000           4.316920            8.359165            
66.000000           4.305344            8.300089            
67.000000           4.242969            8.070137            
67.000000           4.242969            8.070137            
68.000000           4.209682            8.048321            
68.000000           4.209682            8.048321            
69.000000           4.176174            7.898144            
70.000000           4.163568            7.949742            
70.000000           4.163568            7.949742            
71.000000           4.129518            8.001537            
71.000000           4.129518            8.001537            
72.000000           4.101939            7.822067            
73.000000           4.094462            8.064586            
74.000000           4.069010            8.048395            
75.000000           4.037392            7.625926            
76.000000           4.032443            7.105195            
