Iteration           EnergyValue II      EnergyValue MDCA    
0.000000            9.542059            9.397640            
1.000000            9.350135            9.525466            
2.000000            9.242905            9.588633            
3.000000            9.174642            9.488237            
4.000000            9.143937            9.445173            
5.000000            9.110353            9.789888            
6.000000            9.076865            9.498516            
7.000000            9.068183            9.648861            
8.000000            9.060395            9.690741            
9.000000            9.058713            9.645304            
10.000000           9.055076            9.673126            
10.000000           9.055076            9.673126            
11.000000           9.027987            9.822886            
12.000000           9.020833            9.804063            
13.000000           9.014121            9.807483            
14.000000           9.011745            10.034135           
15.000000           9.006401            10.370378           
16.000000           9.006372            10.497736           
17.000000           9.005943            10.367652           
17.000000           9.005943            10.367652           
18.000000           8.995440            10.597064           
18.000000           8.995440            10.597064           
19.000000           8.991810            10.229446           
19.000000           8.991810            10.229446           
20.000000           8.983386            10.070788           
20.000000           8.983386            10.070788           
21.000000           8.981689            10.010412           
21.000000           8.981689            10.010412           
22.000000           8.979211            10.057527           
23.000000           8.976841            10.180792           
23.000000           8.976841            10.180792           
24.000000           8.975893            10.182503           
25.000000           8.972958            10.201216           
26.000000           8.972414            10.163530           
27.000000           8.971513            10.339028           
27.000000           8.971513            10.339028           
27.000000           8.971513            10.339028           
28.000000           8.961684            10.645011           
28.000000           8.961684            10.645011           
28.000000           8.961684            10.645011           
29.000000           8.954016            10.715618           
29.000000           8.954016            10.715618           
30.000000           8.952571            10.704386           
30.000000           8.952571            10.704386           
31.000000           8.951729            10.821553           
31.000000           8.951729            10.821553           
31.000000           8.951729            10.821553           
32.000000           8.945767            10.974616           
32.000000           8.945767            10.974616           
32.000000           8.945767            10.974616           
33.000000           8.940980            11.060279           
33.000000           8.940980            11.060279           
34.000000           8.939067            11.236532           
34.000000           8.939067            11.236532           
35.000000           8.937620            11.217970           
36.000000           8.937268            11.260643           
36.000000           8.937268            11.260643           
36.000000           8.937268            11.260643           
37.000000           8.932972            11.248009           
38.000000           8.931852            11.004299           
38.000000           8.931852            11.004299           
39.000000           8.931305            11.176133           
39.000000           8.931305            11.176133           
40.000000           8.930509            11.330120           
40.000000           8.930509            11.330120           
40.000000           8.930509            11.330120           
40.000000           8.930509            11.330120           
41.000000           8.925671            11.296099           
41.000000           8.925671            11.296099           
41.000000           8.925671            11.296099           
42.000000           8.924513            11.257221           
42.000000           8.924513            11.257221           
42.000000           8.924513            11.257221           
42.000000           8.924513            11.257221           
43.000000           8.922451            11.256713           
43.000000           8.922451            11.256713           
43.000000           8.922451            11.256713           
44.000000           8.919327            11.250806           
44.000000           8.919327            11.250806           
45.000000           8.917447            11.251876           
45.000000           8.917447            11.251876           
46.000000           8.914052            11.263676           
46.000000           8.914052            11.263676           
46.000000           8.914052            11.263676           
47.000000           8.913927            11.181127           
47.000000           8.913927            11.181127           
47.000000           8.913927            11.181127           
47.000000           8.913927            11.181127           
48.000000           8.912527            11.201226           
48.000000           8.912527            11.201226           
48.000000           8.912527            11.201226           
48.000000           8.912527            11.201226           
48.000000           8.912527            11.201226           
48.000000           8.912527            11.201226           
48.000000           8.912527            11.201226           
48.000000           8.912527            11.201226           
48.000000           8.912527            11.201226           
48.000000           8.912527            11.201226           


#206s 206068ms 206068667us 
Initial digital shape size: 11527 pixels.
