#It	EnergyValue
1	16.3881
2	15.8715
3	15.3937
4	14.9483
5	14.4543
6	13.9815
7	13.5588
8	13.123
9	12.7327
10	12.2345
11	11.7053
12	11.0688
13	10.3741
14	9.81405
15	9.32549
16	8.95189
17	8.5959
18	8.32474
19	8.05911
20	7.81452
21	7.62691
22	7.42467
23	7.28226
24	7.13565
25	6.95374
26	6.72747
27	6.55926
28	5.1363
29	4.98215
30	4.83012
31	4.68253
32	4.53964
33	4.40734
34	4.28633
35	4.16933
36	4.06272
37	3.9632
38	3.87267
39	3.79445
40	3.72261
41	3.65352
42	3.60393
43	3.55508
44	3.51871
45	3.488
46	3.45578
47	3.42752
48	3.40138
49	3.37893
50	3.36309
51	3.34895
52	3.33643
53	3.32169
54	3.31512
55	3.31116
56	3.30612
57	3.29658
58	3.28887
59	3.28121
60	3.27735
61	3.27395
62	3.27066
63	3.2656
64	3.26305
65	3.26083
66	3.25932
67	3.25459
68	3.25036
69	3.24857
70	3.24716
71	3.24329
72	3.24227
73	3.23926
74	3.23833
75	3.23778
76	3.23748
77	3.23612
78	3.23585
79	3.23564
80	3.23172
81	3.2306
82	3.23024
83	3.22998
84	3.22989
85	3.22948
86	3.22947
87	3.22896
88	3.22895
89	3.22846


#8794s 8794708ms 8794708414us 
Initial digital shape size: 7481 pixels.
