Iteration           EnergyValue II      EnergyValue MDCA    
0.000000            1.225775            3.106135            
1.000000            1.213961            3.503320            
2.000000            1.204837            3.632412            
3.000000            1.196590            3.585408            
4.000000            1.187760            3.592790            
5.000000            1.180767            3.733410            
6.000000            1.174695            3.769247            
7.000000            1.169523            3.894981            
8.000000            1.165143            4.043573            
9.000000            1.161445            3.952366            
10.000000           1.157748            4.071877            
11.000000           1.154969            4.058486            
12.000000           1.152175            4.215541            
13.000000           1.150291            4.181838            
14.000000           1.148535            4.244883            
15.000000           1.147221            4.181621            
16.000000           1.146145            4.146139            
17.000000           1.145864            4.220097            
18.000000           1.145647            4.196724            
18.000000           1.145647            4.196724            
19.000000           1.144662            4.318953            
19.000000           1.144662            4.318953            
20.000000           1.144180            4.409549            
20.000000           1.144180            4.409549            
21.000000           1.144006            4.534541            
22.000000           1.143970            4.592479            
22.000000           1.143970            4.592479            
23.000000           1.143887            4.421767            
23.000000           1.143887            4.421767            
24.000000           1.143790            4.573127            
24.000000           1.143790            4.573127            
24.000000           1.143790            4.573127            
25.000000           1.143156            4.479706            
25.000000           1.143156            4.479706            
26.000000           1.143138            4.495493            
26.000000           1.143138            4.495493            
27.000000           1.143105            4.351733            
27.000000           1.143105            4.351733            
27.000000           1.143105            4.351733            
28.000000           1.142469            4.607771            
28.000000           1.142469            4.607771            
28.000000           1.142469            4.607771            
29.000000           1.142093            4.709137            
29.000000           1.142093            4.709137            
29.000000           1.142093            4.709137            
30.000000           1.141680            5.029968            
30.000000           1.141680            5.029968            
30.000000           1.141680            5.029968            
31.000000           1.141384            4.947677            
31.000000           1.141384            4.947677            
31.000000           1.141384            4.947677            
32.000000           1.141224            4.978881            
33.000000           1.141218            4.610114            
34.000000           1.141177            4.672843            
35.000000           1.141030            4.590232            
36.000000           1.140982            4.796178            
37.000000           1.140756            5.116252            
37.000000           1.140756            5.116252            
37.000000           1.140756            5.116252            
38.000000           1.140623            5.182099            
38.000000           1.140623            5.182099            
38.000000           1.140623            5.182099            
39.000000           1.140541            5.020521            
39.000000           1.140541            5.020521            
39.000000           1.140541            5.020521            
40.000000           1.140489            4.677403            
40.000000           1.140489            4.677403            
40.000000           1.140489            4.677403            
41.000000           1.140488            4.685014            
41.000000           1.140488            4.685014            
42.000000           1.140453            4.736976            
43.000000           1.140232            4.762148            
44.000000           1.140190            4.798179            
45.000000           1.140067            4.896223            
46.000000           1.139872            5.205228            
46.000000           1.139872            5.205228            
47.000000           1.139869            5.136682            
48.000000           1.139479            5.115238            
48.000000           1.139479            5.115238            
48.000000           1.139479            5.115238            
48.000000           1.139479            5.115238            
49.000000           1.139472            5.077676            
49.000000           1.139472            5.077676            
50.000000           1.139358            5.210553            
50.000000           1.139358            5.210553            
50.000000           1.139358            5.210553            
50.000000           1.139358            5.210553            
51.000000           1.139276            5.190006            
51.000000           1.139276            5.190006            
52.000000           1.139215            5.206389            
53.000000           1.139203            6.029384            
54.000000           1.138917            5.479984            
55.000000           1.138392            5.482998            
55.000000           1.138392            5.482998            
55.000000           1.138392            5.482998            
55.000000           1.138392            5.482998            
56.000000           1.138306            5.502614            
56.000000           1.138306            5.502614            
56.000000           1.138306            5.502614            
56.000000           1.138306            5.502614            
57.000000           1.138171            5.433579            
57.000000           1.138171            5.433579            
57.000000           1.138171            5.433579            
57.000000           1.138171            5.433579            
58.000000           1.138069            5.649643            
58.000000           1.138069            5.649643            
58.000000           1.138069            5.649643            
58.000000           1.138069            5.649643            
59.000000           1.138018            5.505723            
59.000000           1.138018            5.505723            
59.000000           1.138018            5.505723            
59.000000           1.138018            5.505723            
60.000000           1.137991            5.452643            
60.000000           1.137991            5.452643            
60.000000           1.137991            5.452643            
60.000000           1.137991            5.452643            
61.000000           1.137921            5.336104            
61.000000           1.137921            5.336104            
61.000000           1.137921            5.336104            
61.000000           1.137921            5.336104            
61.000000           1.137921            5.336104            
61.000000           1.137921            5.336104            
61.000000           1.137921            5.336104            
61.000000           1.137921            5.336104            
61.000000           1.137921            5.336104            
61.000000           1.137921            5.336104            


#489s 489921ms 489921889us 
Initial digital shape size: 11527 pixels.
