Iteration           EnergyValue II      EnergyValue MDCA    
0.000000            11.031231           8.194113            
1.000000            10.620145           8.459497            
2.000000            10.330279           8.272414            
3.000000            10.163834           8.480382            
4.000000            10.031071           8.694259            
5.000000            9.903529            8.725615            
6.000000            9.806324            8.995869            
7.000000            9.739548            8.960000            
8.000000            9.635961            8.991497            
9.000000            9.594247            9.006151            
10.000000           9.538633            8.828562            
11.000000           9.469064            9.232301            
12.000000           9.410519            9.187568            
13.000000           9.341364            9.292099            
14.000000           9.300762            8.895879            
15.000000           9.262007            8.852912            
16.000000           9.230727            9.347040            
17.000000           9.183605            9.182409            
18.000000           9.170314            9.504240            
19.000000           9.137838            9.438607            
20.000000           9.116368            9.894668            
21.000000           9.070604            9.678986            
22.000000           9.049735            9.856853            
23.000000           9.032330            9.279833            
24.000000           9.002739            9.265577            
25.000000           8.973569            9.058662            
26.000000           8.936016            9.340134            
27.000000           8.876117            9.714559            
28.000000           8.829858            9.553543            
29.000000           8.772343            9.165441            
30.000000           8.738963            9.447599            
31.000000           8.708435            9.437611            
32.000000           8.650674            9.456097            
33.000000           8.572650            9.560394            
34.000000           8.537592            9.712597            
35.000000           8.473349            9.671940            
36.000000           8.421444            9.569429            
37.000000           8.410804            9.363623            
38.000000           8.338491            9.589489            
39.000000           8.309200            9.654943            
40.000000           8.212135            9.261790            
41.000000           8.174873            9.243175            
42.000000           8.157480            9.212825            
43.000000           8.144756            9.450981            
44.000000           8.133735            9.416506            
45.000000           8.113703            9.413387            
46.000000           8.100820            9.310666            
47.000000           8.023033            9.277318            
48.000000           7.981607            9.067716            
49.000000           7.940325            9.270318            
50.000000           7.905472            9.256873            
51.000000           7.877335            9.447627            
52.000000           7.775829            9.124203            
53.000000           7.773069            9.391144            
54.000000           7.754875            9.203338            
55.000000           7.752696            9.199856            
56.000000           7.752394            9.034080            
57.000000           7.723903            9.016858            
58.000000           7.716329            9.045806            
59.000000           7.692102            9.119944            
60.000000           7.652554            8.917782            
61.000000           7.605976            8.938888            
62.000000           7.567088            8.899269            
63.000000           7.532893            8.854573            
64.000000           7.502453            8.616110            
65.000000           7.468024            8.602196            
66.000000           7.413609            8.547744            
67.000000           7.371272            8.432455            
68.000000           7.335732            7.992609            
69.000000           7.246243            7.904034            
70.000000           7.194753            7.947222            
71.000000           7.150117            7.808994            
72.000000           7.099045            7.849311            
73.000000           7.070351            7.741819            
74.000000           7.052331            7.593813            
75.000000           7.025859            7.574362            
76.000000           6.987864            7.677596            
77.000000           6.962197            7.725646            
78.000000           6.854439            7.366546            
79.000000           6.829200            7.156164            
80.000000           6.804267            7.697673            
81.000000           6.786142            7.655732            
82.000000           6.737275            7.649193            
83.000000           6.734640            7.705956            
84.000000           6.730442            7.086704            
85.000000           6.710027            7.076867            
86.000000           6.705288            7.273129            
87.000000           6.666472            7.228912            
87.000000           6.666472            7.228912            
88.000000           6.639349            7.195940            
88.000000           6.639349            7.195940            
89.000000           6.613737            7.156872            
90.000000           6.606704            7.154744            
91.000000           6.605222            7.201233            
92.000000           6.601196            7.155069            
92.000000           6.601196            7.155069            
93.000000           6.566245            7.258658            
93.000000           6.566245            7.258658            
94.000000           6.535844            7.259067            
95.000000           6.533160            7.309159            
96.000000           6.509163            7.531233            
96.000000           6.509163            7.531233            
97.000000           6.460666            7.292781            
97.000000           6.460666            7.292781            
98.000000           6.433491            7.254132            
99.000000           6.420553            7.020567            
100.000000          6.405707            7.021609            
101.000000          6.405578            6.990185            
102.000000          6.398274            7.085480            
103.000000          6.395464            7.047432            
103.000000          6.395464            7.047432            
104.000000          6.365635            6.993290            
104.000000          6.365635            6.993290            
105.000000          6.336261            6.971905            
105.000000          6.336261            6.971905            
106.000000          6.319100            6.845854            
107.000000          6.317930            6.823861            
107.000000          6.317930            6.823861            
108.000000          6.290248            6.767235            
109.000000          6.282689            6.985043            
109.000000          6.282689            6.985043            
110.000000          6.250716            6.947346            
110.000000          6.250716            6.947346            
111.000000          6.234731            6.953163            
111.000000          6.234731            6.953163            
112.000000          6.217949            7.028883            
112.000000          6.217949            7.028883            
113.000000          6.203687            7.091453            
114.000000          6.153115            7.066908            
115.000000          6.148788            7.126397            
116.000000          6.121801            7.000501            
116.000000          6.121801            7.000501            
117.000000          6.106809            7.126605            
117.000000          6.106809            7.126605            
118.000000          6.106522            7.130916            
118.000000          6.106522            7.130916            
119.000000          6.098472            7.123801            
119.000000          6.098472            7.123801            
120.000000          6.090811            7.108072            
120.000000          6.090811            7.108072            
121.000000          6.073770            7.007106            
121.000000          6.073770            7.007106            
121.000000          6.073770            7.007106            
122.000000          6.040382            7.087926            
122.000000          6.040382            7.087926            
122.000000          6.040382            7.087926            
123.000000          6.009894            7.067108            
123.000000          6.009894            7.067108            
123.000000          6.009894            7.067108            
124.000000          5.984704            7.192803            
124.000000          5.984704            7.192803            
124.000000          5.984704            7.192803            
125.000000          5.960168            7.488586            
125.000000          5.960168            7.488586            
125.000000          5.960168            7.488586            
126.000000          5.940125            7.481025            
126.000000          5.940125            7.481025            
126.000000          5.940125            7.481025            
127.000000          5.924656            7.450311            
127.000000          5.924656            7.450311            
127.000000          5.924656            7.450311            
128.000000          5.914044            7.316067            
128.000000          5.914044            7.316067            
128.000000          5.914044            7.316067            
129.000000          5.905842            7.414568            
129.000000          5.905842            7.414568            
129.000000          5.905842            7.414568            
130.000000          5.897657            7.546831            
130.000000          5.897657            7.546831            
131.000000          5.896507            7.631825            
132.000000          5.894983            7.677687            
133.000000          5.859644            7.599548            
133.000000          5.859644            7.599548            
134.000000          5.854113            7.665009            
134.000000          5.854113            7.665009            
135.000000          5.809144            7.500903            
135.000000          5.809144            7.500903            
135.000000          5.809144            7.500903            
136.000000          5.784975            7.476904            
136.000000          5.784975            7.476904            
136.000000          5.784975            7.476904            
137.000000          5.758309            7.476834            
137.000000          5.758309            7.476834            
137.000000          5.758309            7.476834            
138.000000          5.738239            7.328645            
139.000000          5.733932            7.514276            
140.000000          5.732951            7.537238            
141.000000          5.732176            7.518924            
